,Name,stars
0,Rose's luxury,0
1,Fiola Mare,1
2,Blue Duck Tavern,0
3,Pineapple & Pearls,0
4,Tail Up Goat,1
5,Sushi Capitol,0
6,Convivial,0
7,Red Hen,1
8,Le Diplomate,1
9,Kinship,1
10,Corduroy,1
11,Conosci,1
12,Mintwood Place,0
13,Estadio,1
14,Makoto ,0
15,The Riggsby,1
16,Komi,1
17,Little Serow,1
18,Izakaya Seki,0
19,Rasika,1
20,1789,0
21,Plume,0
22,Sushi Taro,0
23,Izakaya Seki,0
24,The Source,1
25,The Masseria,1
26,Garrison,1
27,Maketto,0
28,Blue Duck Tavern,0
29,Central Michel Richard,0
30,Marcel's,1
31,Minibar,2
32,Fiola,1
33,Estadio,1
34,Bibiana,1
35,Obelisk,0
36,Kapnos,3
37,Iron Gate,0
38,Del Campo,1
39,The Bombay Club,0
40,Osteria Morini,1
41,The Dabney,1
42,Centrolina,1
43,Toki Underground,1
